T2M,RH2M,WS10M,PRECTOTCORR,WSC,DATE
23.51,92.91,1.94,0.0,1.28,2021-03-16 00:00:00
23.31,93.3,1.69,0.0,1.14,2021-03-16 01:00:00
23.08,93.99,1.57,0.0,1.07,2021-03-16 02:00:00
22.82,94.89,1.62,0.0,1.1,2021-03-16 03:00:00
22.54,96.13,1.76,0.0,1.22,2021-03-16 04:00:00
22.31,97.31,1.92,0.0,1.35,2021-03-16 05:00:00
22.44,97.09,1.96,0.0,1.44,2021-03-16 06:00:00
24.81,88.88,2.03,0.0,1.31,2021-03-16 07:00:00
26.76,78.3,2.29,0.0,1.37,2021-03-16 08:00:00
28.42,69.81,2.31,0.0,1.35,2021-03-16 09:00:00
29.78,63.92,2.39,0.0,1.38,2021-03-16 10:00:00
30.82,59.69,2.5,0.0,1.41,2021-03-16 11:00:00
31.51,56.61,2.6,0.0,1.46,2021-03-16 12:00:00
31.82,54.86,2.71,0.0,1.51,2021-03-16 13:00:00
31.73,54.62,2.76,0.0,1.56,2021-03-16 14:00:00
31.36,55.37,2.8,0.0,1.61,2021-03-16 15:00:00
30.53,58.63,2.62,0.0,1.67,2021-03-16 16:00:00
29.1,66.56,2.5,0.0,1.81,2021-03-16 17:00:00
26.57,77.6,2.5,0.0,2.07,2021-03-16 18:00:00
25.66,80.57,2.63,0.0,2.18,2021-03-16 19:00:00
25.1,83.36,2.59,0.0,2.14,2021-03-16 20:00:00
24.66,85.54,2.45,0.0,1.99,2021-03-16 21:00:00
24.3,87.33,2.31,0.0,1.8,2021-03-16 22:00:00
24.05,88.22,2.22,0.0,1.59,2021-03-16 23:00:00
23.88,88.53,2.04,0.0,1.37,2021-03-17 00:00:00
23.73,88.88,1.81,0.0,1.18,2021-03-17 01:00:00
23.5,89.94,1.66,0.0,1.08,2021-03-17 02:00:00
23.22,91.39,1.61,0.0,1.07,2021-03-17 03:00:00
22.87,93.24,1.68,0.0,1.15,2021-03-17 04:00:00
22.55,94.81,1.81,0.0,1.25,2021-03-17 05:00:00
22.57,95.06,1.82,0.0,1.28,2021-03-17 06:00:00
24.74,87.83,1.71,0.0,1.08,2021-03-17 07:00:00
26.87,75.0,1.98,0.0,1.18,2021-03-17 08:00:00
28.56,66.38,2.22,0.0,1.29,2021-03-17 09:00:00
30.03,59.83,2.44,0.0,1.41,2021-03-17 10:00:00
31.16,55.68,2.58,0.0,1.49,2021-03-17 11:00:00
31.81,53.86,2.64,0.0,1.53,2021-03-17 12:00:00
31.96,53.97,2.61,0.0,1.54,2021-03-17 13:00:00
31.9,54.28,2.58,0.0,1.54,2021-03-17 14:00:00
31.53,55.37,2.55,0.0,1.55,2021-03-17 15:00:00
30.79,58.98,2.42,0.0,1.64,2021-03-17 16:00:00
29.32,67.39,2.46,0.0,1.82,2021-03-17 17:00:00
26.75,77.33,2.62,0.0,2.14,2021-03-17 18:00:00
25.79,80.2,2.74,0.0,2.28,2021-03-17 19:00:00
25.22,83.18,2.68,0.0,2.22,2021-03-17 20:00:00
24.77,85.39,2.48,0.0,2.02,2021-03-17 21:00:00
24.35,87.26,2.3,0.0,1.79,2021-03-17 22:00:00
24.08,87.77,2.23,0.0,1.55,2021-03-17 23:00:00
23.95,87.4,1.94,0.0,1.29,2021-03-18 00:00:00
23.87,87.21,1.57,0.0,1.04,2021-03-18 01:00:00
23.66,88.0,1.33,0.0,0.85,2021-03-18 02:00:00
23.45,89.01,1.19,0.0,0.75,2021-03-18 03:00:00
23.31,89.83,1.13,0.0,0.69,2021-03-18 04:00:00
22.96,91.63,1.15,0.0,0.71,2021-03-18 05:00:00
22.75,92.98,1.19,0.0,0.75,2021-03-18 06:00:00
24.67,87.48,1.08,0.0,0.67,2021-03-18 07:00:00
26.68,76.12,1.1,0.0,0.64,2021-03-18 08:00:00
28.66,64.85,1.11,0.0,0.64,2021-03-18 09:00:00
30.25,56.85,1.42,0.0,0.82,2021-03-18 10:00:00
31.32,52.72,1.84,0.0,1.05,2021-03-18 11:00:00
31.96,50.86,2.22,0.0,1.26,2021-03-18 12:00:00
32.25,50.66,2.47,0.0,1.41,2021-03-18 13:00:00
32.19,51.54,2.59,0.0,1.51,2021-03-18 14:00:00
31.77,52.89,2.65,0.0,1.57,2021-03-18 15:00:00
30.98,56.48,2.51,0.0,1.64,2021-03-18 16:00:00
29.48,64.55,2.47,0.0,1.8,2021-03-18 17:00:00
